obj_name,obj_value,obj_type,obj_desc
ADD-TK-ROHRBACH-PRINTER-1,10.22.102.141,ip-netmask,KF79P001
ADD-TK-ROHRBACH-PRINTER-2,10.22.102.142,ip-netmask,KF79P002
ADD-TK-ROHRBACH-PRINTER-3,10.22.102.143,ip-netmask,KF79P003
ADD-TK-ROHRBACH-PRINTER-4,10.22.102.144,ip-netmask,KF79P004
ADD-TK-ROHRBACH-PRINTER-5,10.22.102.145,ip-netmask,KF79P005
ADD-TK-ROHRBACH-PRINTER-6,10.22.102.146,ip-netmask,KF79P006
ADD-TK-ROHRBACH-PRINTER-7,10.22.102.147,ip-netmask,KF79P007
ADD-TK-ROHRBACH-PRINTER-8,10.22.102.149,ip-netmask,KF79P009
ADD-TK-ROHRBACH-PRINTER-9,10.22.102.150,ip-netmask,KF79P010
ADD-TK-ROHRBACH-PRINTER-10,10.22.102.151,ip-netmask,KF79P011
ADD-TK-ROHRBACH-PRINTER-11,10.22.102.152,ip-netmask,KF79P012
ADD-TK-ROHRBACH-PRINTER-12,10.22.102.153,ip-netmask,KF79P013
ADD-TK-ROHRBACH-PRINTER-13,10.22.102.154,ip-netmask,KF79P014
ADD-TK-ROHRBACH-PRINTER-14,10.22.102.157,ip-netmask,KF79P017
ADD-TK-ROHRBACH-PRINTER-15,10.22.102.159,ip-netmask,KF79P019
ADD-TK-ROHRBACH-PRINTER-16,10.22.102.160,ip-netmask,KF79P020
ADD-TK-ROHRBACH-PRINTER-17,10.22.102.161,ip-netmask,KF79P021
ADD-TK-ROHRBACH-PRINTER-18,10.22.102.165,ip-netmask,KF79P025
ADD-TK-ROHRBACH-PRINTER-19,10.22.102.168,ip-netmask,KF79P028
ADD-TK-ROHRBACH-PRINTER-20,10.22.102.169,ip-netmask,KF79P029
ADD-TK-ROHRBACH-PRINTER-21,10.22.102.170,ip-netmask,KF79P030
ADD-TK-ROHRBACH-PRINTER-22,10.22.102.172,ip-netmask,KF79P032
ADD-TK-ROHRBACH-PRINTER-23,10.22.102.176,ip-netmask,KF79P036
ADD-TK-ROHRBACH-PRINTER-24,10.22.102.178,ip-netmask,KF79P038
ADD-TK-ROHRBACH-PRINTER-25,10.22.102.180,ip-netmask,KF79P040
ADD-TK-ROHRBACH-PRINTER-26,10.22.102.182,ip-netmask,KF79P042
ADD-TK-ROHRBACH-PRINTER-27,10.22.102.184,ip-netmask,KF79P044
ADD-TK-ROHRBACH-PRINTER-28,10.22.102.186,ip-netmask,KF79P046
ADD-TK-ROHRBACH-PRINTER-29,10.22.102.187,ip-netmask,KF79P047
ADD-TK-ROHRBACH-PRINTER-30,10.22.102.188,ip-netmask,KF79P048
ADD-TK-ROHRBACH-PRINTER-31,10.22.102.189,ip-netmask,KF79P049
ADD-TK-ROHRBACH-PRINTER-32,10.22.102.192,ip-netmask,KF79P052
ADD-TK-ROHRBACH-PRINTER-33,10.22.102.193,ip-netmask,KF79P053
ADD-TK-ROHRBACH-PRINTER-34,10.22.102.194,ip-netmask,KF79P054
ADD-TK-ROHRBACH-PRINTER-35,10.22.102.195,ip-netmask,KF79P055
ADD-TK-ROHRBACH-PRINTER-36,10.22.102.197,ip-netmask,KF79P057
ADD-TK-ROHRBACH-PRINTER-37,10.22.102.198,ip-netmask,KF79P058
ADD-TK-ROHRBACH-PRINTER-38,10.22.102.200,ip-netmask,KF79P060
ADD-TK-ROHRBACH-PRINTER-39,10.22.102.201,ip-netmask,KF79P061
ADD-TK-ROHRBACH-PRINTER-40,10.22.102.210,ip-netmask,KF79P100
ADD-TK-ROHRBACH-PRINTER-41,10.22.102.211,ip-netmask,KF79P101
ADD-TK-ROHRBACH-PRINTER-42,10.22.102.212,ip-netmask,KF79P102
ADD-TK-ROHRBACH-PRINTER-43,10.22.102.213,ip-netmask,KF79P103
ADD-TK-ROHRBACH-PRINTER-44,10.22.102.215,ip-netmask,KF79P105
ADD-TK-ROHRBACH-PRINTER-45,10.22.102.216,ip-netmask,KF79P106
ADD-TK-ROHRBACH-PRINTER-46,10.22.102.217,ip-netmask,KF79P107
ADD-TK-ROHRBACH-PRINTER-47,10.22.102.218,ip-netmask,KF79P108
ADD-TK-ROHRBACH-PRINTER-48,10.22.102.220,ip-netmask,KF79P110
ADD-TK-ROHRBACH-PRINTER-49,10.22.102.225,ip-netmask,KF79P115
ADD-TK-ROHRBACH-PRINTER-50,10.22.102.226,ip-netmask,KF79P116
ADD-TK-ROHRBACH-PRINTER-51,10.22.102.227,ip-netmask,KF79P117
